PartName,	BatchID,	OperatorName,	Date,	Time,	21,	22,	17,	19,	18,	20,	1,	7,	14,	11,	X Position,	Y Position,	Result
,	,	,	,	,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	-100.0000-100.000,	
72100701-10,Batch_1_DAUR_STM_1_72100701-10_3637309756,dd,05-Apr-2019,17:19,0.000,0.000,0.000,0.000,0.000,0.000,4.374,0.000,0.000,0.000,0.000,0.000,Pass
72100701-10,Batch_1_DAUR_STM_1_72100701-10_3637309756,dd,05-Apr-2019,17:19,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Pass
72100701-10,Batch_1_DAUR_STM_1_72100701-10_3637309756,dd,05-Apr-2019,17:19,0.000,0.000,0.000,0.000,0.000,0.000,7.438,0.000,0.000,0.000,0.000,0.000,Pass
72100701-10,Batch_1_DAUR_STM_1_72100701-10_3637309756,dd,05-Apr-2019,17:19,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Pass
72100701-10,Batch_1_DAUR_STM_1_72100701-10_3637309756,dd,05-Apr-2019,17:19,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Pass
72100701-10,Batch_1_DAUR_STM_1_72100701-10_3637309756,dd,05-Apr-2019,17:19,0.000,0.000,0.000,0.000,0.000,0.000,10.130,0.000,0.000,0.000,0.000,0.000,Pass
72100701-10,Batch_1_DAUR_STM_1_72100701-10_3637309756,dd,05-Apr-2019,17:19,0.000,0.000,0.000,0.000,0.000,0.000,0.000,31.064,0.000,0.000,0.000,0.000,Pass
72100701-10,Batch_1_DAUR_STM_1_72100701-10_3637309756,dd,05-Apr-2019,17:19,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Pass
72100701-10,Batch_1_DAUR_STM_1_72100701-10_3637309756,dd,05-Apr-2019,17:19,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Pass
72100701-10,Batch_1_DAUR_STM_1_72100701-10_3637309756,dd,05-Apr-2019,17:19,0.000,0.000,0.000,0.000,0.000,0.000,4.302,0.000,0.000,0.000,0.000,0.000,Pass
72100701-10,Batch_1_DAUR_STM_1_72100701-10_3637309756,dd,05-Apr-2019,17:19,0.000,0.000,0.000,0.000,0.000,0.000,0.000,30.580,0.000,0.000,0.000,0.000,Pass
72100701-10,Batch_1_DAUR_STM_1_72100701-10_3637309756,dd,05-Apr-2019,17:19,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.458,0.000,0.000,0.000,0.000,Pass
72100701-10,Batch_1_DAUR_STM_1_72100701-10_3637309756,dd,05-Apr-2019,17:19,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Pass
72100701-10,Batch_1_DAUR_STM_1_72100701-10_3637309756,dd,05-Apr-2019,17:19,0.000,0.000,0.000,0.000,0.000,0.000,10.643,0.000,0.000,0.000,0.000,0.000,Pass
72100701-10,Batch_1_DAUR_STM_1_72100701-10_3637309756,dd,05-Apr-2019,17:19,0.000,0.000,0.000,0.000,0.000,0.000,7.392,0.000,0.000,0.000,0.000,0.000,Pass
