BatchID,	FailID,	InspectionMcID,	Event Name,	Event Time,	Event Reason,	Non Utilised Time
None,None,None,Start,10-Apr-2019 11:01:01,Machine Start,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Ready,10-Apr-2019 11:01:03,Inspection Ready,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Select,10-Apr-2019 11:01:24,Part Select,21
Batch_1_TVAS_STM_1_TT-1478_3637719085,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,BatchStart,10-Apr-2019 11:01:25,Batch Start,1
Batch_1_TVAS_STM_1_TT-1478_3637719085,Batch_1_TVAS_STM_1_TT-1478_3637719085_3637719086,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,FailPause,10-Apr-2019 11:01:26,Not Listed: Fail,0
Batch_1_TVAS_STM_1_TT-1478_3637719085,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Run,10-Apr-2019 11:01:32,Not Listed: Fail,6
Batch_1_TVAS_STM_1_TT-1478_3637719085,Batch_1_TVAS_STM_1_TT-1478_3637719085_3637719092,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,FailPause,10-Apr-2019 11:01:32,Not Listed: Fail,0
Batch_1_TVAS_STM_1_TT-1478_3637719085,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Run,10-Apr-2019 11:02:15,Not Listed: Fail,43
Batch_1_TVAS_STM_1_TT-1478_3637719085,Batch_1_TVAS_STM_1_TT-1478_3637719085_3637719135,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,FailPause,10-Apr-2019 11:02:15,Not Listed: Fail,0
Batch_1_TVAS_STM_1_TT-1478_3637719085,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Stop,10-Apr-2019 11:02:21,Not Listed: Stop,6
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Select,10-Apr-2019 11:02:37,Part Select,16
Batch_1_TVAS_STM_1_TT-1478_3637719159,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,BatchStart,10-Apr-2019 11:02:39,Batch Start,2
Batch_1_TVAS_STM_1_TT-1478_3637719159,Batch_1_TVAS_STM_1_TT-1478_3637719159_3637719160,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,FailPause,10-Apr-2019 11:02:40,Not Listed: Fail,0
Batch_1_TVAS_STM_1_TT-1478_3637719159,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Run,10-Apr-2019 11:02:46,Not Listed: Fail,6
Batch_1_TVAS_STM_1_TT-1478_3637719159,Batch_1_TVAS_STM_1_TT-1478_3637719159_3637719166,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,FailPause,10-Apr-2019 11:02:46,Not Listed: Fail,0
Batch_1_TVAS_STM_1_TT-1478_3637719159,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Run,10-Apr-2019 11:03:27,Not Listed: Fail,41
Batch_1_TVAS_STM_1_TT-1478_3637719159,Batch_1_TVAS_STM_1_TT-1478_3637719159_3637719207,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,FailPause,10-Apr-2019 11:03:27,Not Listed: Fail,0
Batch_1_TVAS_STM_1_TT-1478_3637719159,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Run,10-Apr-2019 11:03:38,Not Listed: Fail,11
Batch_1_TVAS_STM_1_TT-1478_3637719159,Batch_1_TVAS_STM_1_TT-1478_3637719159_3637719218,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,FailPause,10-Apr-2019 11:03:38,Not Listed: Fail,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Exit,10-Apr-2019 11:03:51,Software Exit,13
