BatchID,"	FailID","	InspectionMcID","	Event Name","	Event Time","	Event Reason","	Non Utilised Time"
None,None,None,Start,28-12-2018 18:58,Machine Start,0
None,None,GTRON_V1.3_Demo_TT-VASAI-MC5_26-09-2018,Ready,28-12-2018 18:58,Inspection Ready,0
None,None,GTRON_V1.3_Demo_TT-VASAI-MC5_26-09-2018,Select,28-12-2018 18:58,Part Select,32
Batch_1_DBEN_STM_1_HSG 250F (PS03)_3628848521,None,GTRON_V1.3_Demo_TT-VASAI-MC5_26-09-2018,BatchStart,28-12-2018 18:58,Batch Start,1
Batch_1_DBEN_STM_1_HSG 250F (PS03)_3628848521,None,GTRON_V1.3_Demo_TT-VASAI-MC5_26-09-2018,FailPause,28-12-2018 18:58,Oil Issue,0
Batch_1_DBEN_STM_1_HSG 250F (PS03)_3628848521,Batch_1_DBEN_STM_1_HSG 250F (PS03)_3628848521_3628848525,GTRON_V1.3_Demo_TT-VASAI-MC5_26-09-2018,Run,28-12-2018 18:59,Oil Issue,49
Batch_1_DBEN_STM_1_HSG 250F (PS03)_3628848521,None,GTRON_V1.3_Demo_TT-VASAI-MC5_26-09-2018,FailPause,28-12-2018 18:59,Dust Issue,0
Batch_1_DBEN_STM_1_HSG 250F (PS03)_3628848521,Batch_1_DBEN_STM_1_HSG 250F (PS03)_3628848521_3628848577,GTRON_V1.3_Demo_TT-VASAI-MC5_26-09-2018,Run,28-12-2018 18:59,Dust Issue,1
Batch_1_DBEN_STM_1_HSG 250F (PS03)_3628848521,None,GTRON_V1.3_Demo_TT-VASAI-MC5_26-09-2018,FailPause,28-Dec-2018 18:59:42,Damaged Terminal,0
None,Batch_1_DBEN_STM_1_HSG 250F (PS03)_3628848521_3628848582,GTRON_V1.3_Demo_TT-VASAI-MC5_26-09-2018,Exit,28-Dec-2018 19:01:09,Software Exit,87
