BatchID,	FailID,	InspectionMcID,	Event Name,	Event Time,	Event Reason,	Non Utilised Time
None,None,None,Start,28-Dec-2018 19:26:47,Machine Start,0
None,None,GTRON_V1.3_Demo_TT-VASAI-MC5_26-09-2018,Ready,28-Dec-2018 19:26:47,Inspection Ready,0
None,None,GTRON_V1.3_Demo_TT-VASAI-MC5_26-09-2018,Select,28-Dec-2018 19:27:08,Part Select,21
Batch_1_DBEN_STM_1_HSG 250F (PS03)_3628850239,None,GTRON_V1.3_Demo_TT-VASAI-MC5_26-09-2018,BatchStart,28-Dec-2018 19:27:19,Batch Start,11
Batch_1_DBEN_STM_1_HSG 250F (PS03)_3628850239,None,GTRON_V1.3_Demo_TT-VASAI-MC5_26-09-2018,FailPause,28-Dec-2018 19:27:33,Damaged Terminal,0
Batch_1_DBEN_STM_1_HSG 250F (PS03)_3628850239,Batch_1_DBEN_STM_1_HSG 250F (PS03)_3628850239_3628850253,GTRON_V1.3_Demo_TT-VASAI-MC5_26-09-2018,Run,28-Dec-2018 19:27:34,Damaged Terminal,1
Batch_1_DBEN_STM_1_HSG 250F (PS03)_3628850239,None,GTRON_V1.3_Demo_TT-VASAI-MC5_26-09-2018,FailPause,28-Dec-2018 19:28:03,Dust Issue,0
Batch_1_DBEN_STM_1_HSG 250F (PS03)_3628850239,Batch_1_DBEN_STM_1_HSG 250F (PS03)_3628850239_3628850283,GTRON_V1.3_Demo_TT-VASAI-MC5_26-09-2018,Run,28-Dec-2018 19:28:05,Dust Issue,2
Batch_1_DBEN_STM_1_HSG 250F (PS03)_3628850239,None,GTRON_V1.3_Demo_TT-VASAI-MC5_26-09-2018,FailPause,28-Dec-2018 19:28:13,Damaged Terminal,0
Batch_1_DBEN_STM_1_HSG 250F (PS03)_3628850239,Batch_1_DBEN_STM_1_HSG 250F (PS03)_3628850239_3628850293,GTRON_V1.3_Demo_TT-VASAI-MC5_26-09-2018,Stop,28-Dec-2018 19:28:20,Day End,7
None,None,GTRON_V1.3_Demo_TT-VASAI-MC5_26-09-2018,Exit,28-Dec-2018 19:28:21,Software Exit,1
